Date,Weekday,Holiday Name,Holiday Type
1-Dec,Saturday,World AIDS Day,United Nations observance
2-Dec,Sunday,First Sunday of Advent,Christian
2-Dec,Sunday,International Day for the Abolition of Slavery,United Nations observance
3-Dec,Monday,Chanukah/Hanukkah (first day),Jewish holiday
3-Dec,Monday,International Day of Persons with Disabilities,United Nations observance
5-Dec,Wednesday,International Volunteer Day for Economic and Social Development,United Nations observance
5-Dec,Wednesday,World Soil Day,United Nations observance
6-Dec,Thursday,St Nicholas' Day,Observance
7-Dec,Friday,International Civil Aviation Day,United Nations observance
7-Dec,Friday,Pearl Harbor Remembrance Day,Observance
8-Dec,Saturday,Feast of the Immaculate Conception,Christian
9-Dec,Sunday,International Anti-Corruption Day,United Nations observance
10-Dec,Monday,Last Day of Chanukah,Jewish holiday
10-Dec,Monday,Human Rights Day,United Nations observance
11-Dec,Tuesday,International Mountain Day,United Nations observance
12-Dec,Wednesday,Feast of Our Lady of Guadalupe,Observance
13-Dec,Thursday,National Guard Birthday,Observance
17-Dec,Monday,Pan American Aviation Day,Observance
17-Dec,Monday,Wright Brothers Day,Observance
18-Dec,Tuesday,International Migrants Day,United Nations observance
18-Dec,Tuesday,Arabic Language Day,United Nations observance
20-Dec,Thursday,International Human Solidarity Day,United Nations observance
21-Dec,Friday,December Solstice,Season
24-Dec,Monday,Christmas Eve,"Observance, Christian"
24-Dec,Monday,Christmas Eve,State holiday
25-Dec,Tuesday,Christmas Day,Federal Holiday
26-Dec,Wednesday,Kwanzaa (until Jan 1),Observance
26-Dec,Wednesday,Day After Christmas Day,State holiday
31-Dec,Monday,New Year's Eve,Observance
31-Dec,Monday,New Year's Eve,State holiday
